;mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_max_depth;param_max_features;param_min_samples_leaf;param_min_samples_split;params;split0_test_r2;split1_test_r2;split2_test_r2;split3_test_r2;split4_test_r2;mean_test_r2;std_test_r2;rank_test_r2;split0_test_neg_root_mean_squared_error;split1_test_neg_root_mean_squared_error;split2_test_neg_root_mean_squared_error;split3_test_neg_root_mean_squared_error;split4_test_neg_root_mean_squared_error;mean_test_neg_root_mean_squared_error;std_test_neg_root_mean_squared_error;rank_test_neg_root_mean_squared_error
5;85.18309946060181;0.49856758685244856;0.10640063285827636;0.0010398289805574148;3;sqrt;5;20;{'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 20};-0.2923730378175591;-0.30151530927458303;-0.31783606456408564;-0.29901845471975474;-0.29263742217785027;-0.30067605771076655;0.009289538488506317;19;-3.2672618505409083;-3.276812475562189;-3.296892476256998;-3.2730719515464366;-3.2644295060546185;-3.27569365199223;0.011449816496651862;19
6;81.38586349487305;3.2205571052726953;0.10738086700439453;0.0053175066741889465;3;sqrt;10;2;{'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 2};-0.27039966953991157;-0.31642440199083666;-0.2900717277698288;-0.287317224356602;-0.34164277276761723;-0.30117115928495924;0.02503048695100384;20;-3.2393672221592906;-3.2955272719247826;-3.2619779275770706;-3.258297101247828;-3.3257330019110074;-3.276180504963996;0.030680594744185857;20
2;74.0135639667511;0.7493013745775743;0.10480856895446777;0.006141630738705878;3;sqrt;1;20;{'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 20};-0.287167226049301;-0.30442440053629105;-0.300377267627959;-0.2821032046092904;-0.3405510694128946;-0.3029246336471472;0.02052469168672002;21;-3.260674776790841;-3.2804725269387642;-3.2749809159749312;-3.251691867320764;-3.324379641376719;-3.278439945680404;0.025130112754833872;21
0;74.27846341133117;2.3898312339530947;0.1040003776550293;0.0017880583770223278;3;sqrt;1;2;{'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2};-0.2768161352077645;-0.34781834519010246;-0.3415388062377853;-0.3086583284386215;-0.24526962662016705;-0.3040202483388882;0.0388307264552185;22;-3.2475375286515167;-3.334591429245868;-3.3264094756959794;-3.2851940581950405;-3.2040599245332477;-3.2795584832643305;0.04895053471582004;22
8;82.46266760826111;3.1060526746980344;0.1197929859161377;0.02464030608132478;3;sqrt;10;20;{'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 20};-0.27506068705335207;-0.34145470805511624;-0.35820953247887855;-0.22420333415949267;-0.3370940087896066;-0.30720445410728925;0.05018045648914752;23;-3.24530430006186;-3.3267100865569876;-3.3470135942359125;-3.17742033731768;-3.320090360216119;-3.2833077356777123;0.06316892304683198;23
4;83.73126497268677;3.7717557695954236;0.11180052757263184;0.009410767113137387;3;sqrt;5;10;{'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 10};-0.29231250512257945;-0.30236379422591453;-0.32480745917399734;-0.31114408203908406;-0.3116815806991211;-0.3084618842521393;0.010795625020750568;24;-3.2671853329739347;-3.2778804127057475;-3.3056013068729264;-3.2883126372046805;-3.2883886631601196;-3.2854736705834817;0.012757738933814662;24
7;83.94368033409118;1.8566076701271346;0.10700101852416992;0.001264367146295753;3;sqrt;10;10;{'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 10};-0.28934640306857173;-0.32442440296053365;-0.35117751704627187;-0.268583130148238;-0.31695814691361335;-0.31009792002744574;0.02861449755700809;25;-3.263433774416144;-3.3055256768024055;-3.338337909798827;-3.234501507187777;-3.294996206371109;-3.2873590149152525;0.03564697820883672;25
3;81.3684151649475;5.8812408906973435;0.10521459579467773;0.0017066300395668966;3;sqrt;5;2;{'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 2};-0.31004858475164476;-0.29787894519744795;-0.3520868293866952;-0.29804840453420844;-0.29360782515982575;-0.3103341178059644;0.02158337042473586;26;-3.289528841642827;-3.272231654391235;-3.3394610343586884;-3.271849629796577;-3.2656546051289626;-3.287745153063658;0.027051959382336;26
1;76.811811876297;1.0417115486414257;0.11200051307678223;0.014519083150012569;3;sqrt;1;10;{'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10};-0.3350485877782794;-0.27933348840405925;-0.3550572496987445;-0.32236028730946376;-0.3344254005891738;-0.32524500275594415;0.02524024082585398;27;-3.320767983464066;-3.248768997635874;-3.3431272784624877;-3.302347649778866;-3.316775542601579;-3.3063574903885744;0.031625081049177654;27
;;;;;;;;;;;;;;;;;;;;;;;;;
