;mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_max_depth;param_max_features;param_min_samples_leaf;param_min_samples_split;params;split0_test_r2;split1_test_r2;split2_test_r2;split3_test_r2;split4_test_r2;mean_test_r2;std_test_r2;rank_test_r2;split0_test_neg_root_mean_squared_error;split1_test_neg_root_mean_squared_error;split2_test_neg_root_mean_squared_error;split3_test_neg_root_mean_squared_error;split4_test_neg_root_mean_squared_error;mean_test_neg_root_mean_squared_error;std_test_neg_root_mean_squared_error;rank_test_neg_root_mean_squared_error
126;0.3850090503692627;0.009403497490660285;0.013205718994140626;0.000739465674145518;10;sqrt;1;2;{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2};-0.49582342564448245;-0.6963032359155439;-0.5522567859252026;-0.6194381566330331;-0.6501096206631056;-0.6027862449562734;0.07107247933476978;42;-3.5150391178477656;-3.7409223461601018;-3.578128002182147;-3.6545177520433527;-3.6882922877667927;-3.6353799012000323;0.08008104613981028;42
41;0.12598466873168945;0.0026997440339121426;0.011606311798095703;0.00048065721512637017;3;sqrt;5;20;{'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 20};-0.4811139807644045;-0.5787274640881774;-0.5555303103507263;-0.7429982990169994;-0.659753000296488;-0.6036246109033592;0.09001911485511553;43;-3.4977135388707863;-3.608947214909079;-3.581898937714463;-3.7913717834050513;-3.6990539331023546;-3.6357970816003466;0.10089391174099498;43
48;0.730593204498291;0.0033760342152361696;0.010995006561279297;1.4078087154753932e-05;5;0.1;5;2;{'max_depth': 5, 'max_features': 0.1, 'min_samples_leaf': 5, 'min_samples_split': 2};-0.5826878429404168;-0.6472729269421731;-0.6054818682513108;-0.5826975058554653;-0.6035909277146512;-0.6043462143408034;0.023589465671154664;44;-3.6156603822815;-3.6864617182333523;-3.6389558942092166;-3.612824379900025;-3.6359317925395684;-3.6379668334327326;0.02640679540227666;44
40;0.12858872413635253;0.004451454297409796;0.01160736083984375;0.0008120570319930312;3;sqrt;5;10;{'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 10};-0.4291163957768034;-0.6164244383544775;-0.6431880199675286;-0.6284717489859335;-0.7407209991050756;-0.6115843204379636;0.1012701645260709;45;-3.4357677453518307;-3.6517803877013195;-3.6814399356773433;-3.664696440361739;-3.7882053798599675;-3.64437797779044;0.11493108803132483;45
43;0.12859392166137695;0.0037074447274393968;0.011798620223999023;0.0004012604094043019;3;sqrt;10;10;{'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 10};-0.591222952932561;-0.43363653741048935;-0.4851495352019659;-0.7057119950100617;-0.8667520863891545;-0.6164946213888465;0.1561510847304541;46;-3.625396530036404;-3.4391132578035286;-3.4999285706996934;-3.7505999520076787;-3.9229453220762585;-3.647596726524713;0.17446524194291657;46
85;0.19081435203552247;0.00376065152045236;0.011799907684326172;0.0007472705050565198;5;sqrt;5;10;{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 10};-0.5828694410253561;-0.6200608024316125;-0.6120289171023583;-0.5086099229343628;-0.7745031529151007;-0.6196144472817581;0.08685672172511366;47;-3.6158678073181822;-3.6558856656082668;-3.6463680560250635;-3.5272510542914293;-3.8247875758007788;-3.6540320318087445;0.09669493531545813;47
51;0.7342004776000977;0.012250085243741222;0.010799694061279296;0.000400567349206228;5;0.1;10;2;{'max_depth': 5, 'max_features': 0.1, 'min_samples_leaf': 10, 'min_samples_split': 2};-0.5992738013648671;-0.6481214118935046;-0.5036995069466004;-0.7034687539559856;-0.6598136504828616;-0.6228754249287639;0.06820119223348302;48;-3.6345563690772495;-3.687411015875502;-3.5217183305880666;-3.748132868509333;-3.699121517333541;-3.6581880202767385;0.07720368063607559;48
100;7.81442494392395;0.45974284347361255;0.011189413070678712;0.000395372122659642;10;0.5;1;10;{'max_depth': 10, 'max_features': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 10};-0.6713682410857436;-0.5919395869017681;-0.5851132718258296;-0.7057119950100617;-0.5886709818667766;-0.6285608153380359;0.050209127552113215;49;-3.715575325572071;-3.6240171081273886;-3.6157986669614224;-3.7505999520076787;-3.6189777562179075;-3.664993761777294;0.05675144168673478;50
2;0.45299925804138186;0.008293389813591892;0.013200330734252929;0.0013261083163814472;3;0.1;1;20;{'max_depth': 3, 'max_features': 0.1, 'min_samples_leaf': 1, 'min_samples_split': 20};-0.6492132747231567;-0.46527290488156425;-0.483027806407645;-0.8848075105165563;-0.6645443650199925;-0.629373172309783;0.15180461619239888;50;-3.6908671067921155;-3.476852024461208;-3.497427626127523;-3.9425879825312715;-3.7043892883982914;-3.662424805662082;0.16895130325351917;49
53;0.7274076461791992;0.006426545400990972;0.010597801208496094;0.0004929895428959769;5;0.1;10;20;{'max_depth': 5, 'max_features': 0.1, 'min_samples_leaf': 10, 'min_samples_split': 20};-0.5207628959761377;-0.5687274628760561;-0.720479568903506;-0.6905549608608998;-0.6532027801681528;-0.6307455337569504;0.07493479069107012;51;-3.544220647758827;-3.597499131341104;-3.7670280062670094;-3.73389876670485;-3.6917475536661497;-3.6668788211475887;0.08366427564543127;51
