;mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_max_depth;param_max_features;param_min_samples_leaf;param_min_samples_split;params;split0_test_r2;split1_test_r2;split2_test_r2;split3_test_r2;split4_test_r2;mean_test_r2;std_test_r2;rank_test_r2;split0_test_neg_root_mean_squared_error;split1_test_neg_root_mean_squared_error;split2_test_neg_root_mean_squared_error;split3_test_neg_root_mean_squared_error;split4_test_neg_root_mean_squared_error;mean_test_neg_root_mean_squared_error;std_test_neg_root_mean_squared_error;rank_test_neg_root_mean_squared_error
0;0.5493993282318115;0.022548456963871474;0.014206886291503906;0.0004140148889137331;3;0.1;1;2;{'max_depth': 3, 'max_features': 0.1, 'min_samples_leaf': 1, 'min_samples_split': 2};-0.4579299585871621;-0.46036381337743193;-0.5306151522231288;-0.5951262738577778;-0.6587219471281389;-0.540551429034728;0.07784314448237827;17;-3.4702305398921265;-3.471022903986662;-3.553097240436856;-3.6269822166644268;-3.6979048121875717;-3.563847542633529;0.08882957201832956;17
11;2.3013940811157227;0.007192304148657788;0.012606525421142578;0.0004957899212613462;3;0.5;1;20;{'max_depth': 3, 'max_features': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 20};-0.4947338371348471;-0.474909269685972;-0.6025720687619565;-0.5240094696299111;-0.6215433828811994;-0.5435536056187772;0.05838316923781487;18;-3.513758671280656;-3.488266044899672;-3.6356567494745704;-3.545208033388168;-3.6562275640337267;-3.5678234126153585;0.06660402685796707;18
8;0.5109978199005127;0.005367782526118737;0.012794017791748047;0.0007377461259755667;3;0.1;10;20;{'max_depth': 3, 'max_features': 0.1, 'min_samples_leaf': 10, 'min_samples_split': 20};-0.47112608609274664;-0.665151716988087;-0.5829915430315087;-0.4716873877470049;-0.5378461256858054;-0.5457605719090306;0.07315760012192017;19;-3.485900170687623;-3.706413360649349;-3.6133779210041124;-3.4838197427536346;-3.5606179239002884;-3.5700258237990012;0.08375928251997723;19
15;2.2982216358184813;0.006505796099449424;0.0123992919921875;0.0004910741360630744;3;0.5;10;2;{'max_depth': 3, 'max_features': 0.5, 'min_samples_leaf': 10, 'min_samples_split': 2};-0.42796627457218817;-0.5971517087456617;-0.5003047408756869;-0.6434468987253052;-0.5796341040971289;-0.5497007454031941;0.07641359538630188;20;-3.4343849522148795;-3.6299449031631323;-3.5177407522442583;-3.681507843262051;-3.6086701151532266;-3.5744497132075095;0.0878023220123094;20
5;0.5174047946929932;0.007205331723840668;0.01339426040649414;0.0007953197766337045;3;0.1;5;20;{'max_depth': 3, 'max_features': 0.1, 'min_samples_leaf': 5, 'min_samples_split': 20};-0.4652544146797113;-0.4843032102185709;-0.5533479607337104;-0.6319275527719423;-0.6658180189338354;-0.5601302314675541;0.07889476627123579;21;-3.4789366191409696;-3.4993570838083956;-3.5793854221081025;-3.6685828326480516;-3.705806255054357;-3.586413642551976;0.08965034588372864;21
4;0.515420389175415;0.004082983277908517;0.012591552734375;0.0004839911578302551;3;0.1;5;10;{'max_depth': 3, 'max_features': 0.1, 'min_samples_leaf': 5, 'min_samples_split': 10};-0.5444917124081976;-0.6551517157759656;-0.6146356124782384;-0.4907852507749486;-0.544578296373261;-0.5699285175621223;0.05799144643504474;22;-3.5717642699371974;-3.6952672433803757;-3.649315004216545;-3.506351379996021;-3.5684030041462527;-3.598220180335278;0.06641937840689237;22
12;2.3276137351989745;0.04080503755407919;0.012386798858642578;0.0005011068514342762;3;0.5;5;2;{'max_depth': 3, 'max_features': 0.5, 'min_samples_leaf': 5, 'min_samples_split': 2};-0.5490921972266583;-0.5971517087456617;-0.5851132718258296;-0.6352014721481614;-0.5379674260585523;-0.5809052152009727;0.034886850418470755;23;-3.5770798145973766;-3.6299449031631323;-3.6157986669614224;-3.672260883978697;-3.560758346195372;-3.6111685229792;0.03952086340432949;23
6;0.5182009220123291;0.0029153743030322513;0.012800073623657227;0.0009797903983054185;3;0.1;10;2;{'max_depth': 3, 'max_features': 0.1, 'min_samples_leaf': 10, 'min_samples_split': 2};-0.553208420485281;-0.4714547238126938;-0.5817185057549161;-0.7182013911489709;-0.6463493091079502;-0.5941864700619625;0.08366408386879062;24;-3.581829141653744;-3.484178525850821;-3.611924694674572;-3.7643060449437424;-3.684087403957729;-3.6252651622161216;0.09461767077093057;24
2;0.5521995067596436;0.018747871761051912;0.014008712768554688;0.0006332481194137884;3;0.1;1;20;{'max_depth': 3, 'max_features': 0.1, 'min_samples_leaf': 1, 'min_samples_split': 20};-0.7162229680657346;-0.4069698675114992;-0.6153630623505768;-0.591124816842399;-0.6603595021602227;-0.5980080433860865;0.10460079632648785;25;-3.7651029202400297;-3.4069781331848903;-3.6501369837308846;-3.6224301235496594;-3.699729719857925;-3.628875576112678;0.12108696499987474;25
13;2.2996073722839356;0.011217424436617145;0.012198972702026366;0.0003993281998391105;3;0.5;5;10;{'max_depth': 3, 'max_features': 0.5, 'min_samples_leaf': 5, 'min_samples_split': 10};-0.5563561206242278;-0.5497577636070017;-0.6818641048468648;-0.6708508164669897;-0.5571328849525701;-0.6031923380995308;0.05989536680067236;26;-3.585456735201249;-3.5756817531765885;-3.7245133910351296;-3.7120748914858925;-3.5828759398003163;-3.6361205421398353;0.06728597943636842;26
